film1	-30.70167667	-21.12435552
film2	-42.83304432	44.17294808
film3	-97.99147845	66.23100067
film4	10.06499901	-86.50034343
film5	-19.67704963	-37.67695622
film6	-59.07518527	-86.73050491
film7	-84.89623868	-82.81001147
film8	50.13259907	-82.56917721
film9	52.99195136	-81.15491741
film10	-10.66702174	-57.86363688
film11	41.59876314	-13.86840304
film12	19.87072583	-68.27364641
film13	-34.33834298	-30.38699006
film14	-78.19298409	86.85323166
film15	-95.57833675	31.82126285
film16	22.19491743	50.21673304
film17	-50.93303503	-91.58195315
film18	-20.0561321	17.62802072
film19	-66.45058376	90.39648816
film20	14.81010836	88.81474191
film21	-27.10158075	-50.02744585
film22	-22.18893686	38.50125699
film23	-7.719022991	62.60546554
film24	-65.14044271	-26.13156446
film25	85.55691995	55.32313221
film26	-22.37705408	-16.31670451
film27	67.06669841	-48.6507874
film28	79.52858377	-72.97133776
film29	25.60068068	60.88644282
film30	-57.44695513	97.29649647
film31	6.656516453	12.62226324
film32	-5.303965296	-7.672512849
film33	-30.44784767	1.242872489
film34	21.90963549	56.07906961
film35	-24.49281797	55.94755562
film36	89.0968563	-1.209510495
film37	-36.86334097	-43.62942434
film38	66.76924379	69.4902781
film39	34.12817443	11.60358019
film40	75.87483464	-68.44936795
film41	80.72912452	-12.83438023
film42	19.24828111	-67.88916323
film43	19.83689105	39.51143878
film44	86.28979139	41.17428516
film45	92.72541072	12.44850826
film46	84.3364976	41.52968979
film47	-87.06943259	96.49116709
film48	77.87702333	85.59848876
film49	-28.34510486	-59.16630169
film50	21.2326444	97.40687147
film51	97.01106728	95.81729081
film52	-23.80825027	87.23105763
film53	41.67380149	35.49706727
film54	56.62095627	-66.00407122
film55	-98.94203868	-97.62280644
film56	28.97379361	-29.88266607
film57	45.10168331	42.87693278
film58	26.3325785	59.64273451
film59	88.56931423	84.58108245
film60	-50.19396729	-96.93693904
film61	75.76222272	-27.23329292
film62	-90.4398946	-3.588044901
film63	-74.29733762	73.23258468
film64	73.72269482	83.65737027
film65	58.95603617	-72.6114617
film66	-42.05452076	-8.837259354
film67	-86.00872935	-58.50594646
film68	-23.29533674	55.10553308
film69	88.85913415	4.59362766
film70	71.23450416	53.0912991
film71	56.05335249	62.38614241
film72	-88.39205778	61.03103264
film73	-85.92243555	-82.89880535
film74	-0.409703575	-28.95243472
film75	-40.422507	58.52654556
film76	74.11655806	-66.11370003
film77	-90.48368241	-60.16992232
film78	-43.70752675	9.340762258
film79	-4.428559899	-9.858053286
film80	21.40281762	98.66034431
film81	-78.68358634	-34.41934265
film82	-77.1005137	38.86274671
film83	52.35265692	-44.3032138
film84	19.36666574	4.152164167
film85	-48.16842795	-48.40868657
film86	-79.09136531	-96.84319973
film87	29.89986072	64.97821083
film88	-86.7454775	36.58619307
film89	-65.24670099	-95.79442761
film90	-17.09187742	-47.63679664
film91	-0.485743786	-87.48904497
film92	-43.82216185	-22.76423055
film93	-64.75614351	-94.97064406
film94	72.94140065	4.096424689
film95	76.16902852	85.60893354
